duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
2.3,1916,15,1.0,14,0.0,256,217,0,12571,2964,12,709,0.0,2449,5,26685,35,0,0,5.0,0.3,0.9,21,5.0,1492,42,256,2,25,800550,5.0,0,234,0,241,0,457,12579,12571,0,31436,0.0,250,21,1,12.3,1,4,0,217,21,12,1,0,0,https://github.com/elifesciences/sciencebeam.git
7.4,386,0,1.0,11,0.0,225,47,0,3821,818,105,909,0.0,1439,6,7501,60,0,0,4.0,0.6,29.2,7,5.0,934,28,225,0,73,225030,1.0,0,3098,0,51,0,21,4195,3821,0,12303,0.0,219,7,0,16.0,2,25,0,47,67,105,0,0,20,https://github.com/EpistasisLab/tpot.git
4.6,232,0,1.0,6,0.0,484,98,4,5328,1314,116,445,0.0,3880,3,6059,35,0,0,5.0,2.1,28.1,3,5.0,3247,18,484,1,265,181770,1.0,0,2373,0,26,0,49,5477,5328,0,9691,0.0,481,3,0,50.5,2,2,0,99,263,119,0,0,0,https://github.com/eth-sri/eran.git
2.0,212,0,1.0,3,0.0,55,7,1,1954,423,33,86,0.0,281,1,3152,10,0,0,3.0,0.3,17.4,1,5.0,353,4,55,0,14,94560,1.0,0,662,0,35,0,13,2020,1954,0,4355,0.0,54,1,0,12.1,0,1,0,7,13,34,0,0,0,https://github.com/explosion/spacy-transformers.git
1.8,1452,0,1.0,14,0.0,282,24,14,11563,2794,144,560,0.0,1016,16,19547,113,0,0,5.0,0.2,25.3,17,5.0,2067,23,282,3,97,586410,1.0,0,6625,0,217,0,366,12185,11563,0,30893,0.0,266,17,0,12.9,3,23,0,24,121,121,0,0,10,https://github.com/facebookresearch/ClassyVision.git
3.9,1791,0,1.0,20,0.0,440,130,59,15095,4200,90,1302,0.0,2411,36,21685,388,0,0,5.0,0.4,21.7,34,5.0,4324,62,440,6,155,650550,1.0,0,6021,0,120,0,260,16055,15095,0,33083,0.0,404,34,0,35.0,19,17,0,117,138,149,0,0,0,https://github.com/facebookresearch/CrypTen.git
2.8,3525,0,1.0,37,0.0,623,183,107,31450,8350,128,2327,0.0,3935,54,57694,293,0,0,5.0,0.2,17.7,31,5.0,8137,100,623,5,200,1730820,1.0,0,12432,0,378,0,790,32828,31450,0,82935,0.0,569,31,0,22.1,11,102,3,185,152,232,0,0,58,https://github.com/facebookresearch/habitat-api.git
4.5,3055,0,1.0,45,0.0,529,110,55,29395,6805,203,2742,0.0,3033,17,43285,117,0,0,5.0,0.2,15.3,38,5.0,6047,120,529,11,150,1298550,1.0,0,7830,0,388,0,770,29966,29395,0,61067,0.0,512,38,0,17.5,2,24,2,119,140,253,0,0,11,https://github.com/facebookresearch/mmf.git
8.0,2227,5,1.0,9,0.0,1165,150,57,20917,7112,194,3573,0.0,7455,49,31186,279,0,0,3.0,0.8,22.7,11,5.0,7440,250,1165,1,763,935580,4.0,0,9171,0,203,0,425,21697,20917,0,44734,0.0,1115,11,1,35.0,4,247,1,158,708,249,1,0,199,https://github.com/facebookresearch/nevergrad.git
2.3,7956,0,1.0,88,0.0,1517,641,121,78789,20667,262,4561,0.0,13573,99,132719,593,0,0,5.0,0.3,21.8,374,5.0,21783,198,1517,29,464,3981570,1.0,0,37069,0,1373,0,2316,83134,78789,0,196920,0.0,1418,374,0,15.1,30,78,7,648,417,353,0,0,10,https://github.com/facebookresearch/ParlAI.git
3.9,3838,0,1.0,51,0.0,755,188,42,31719,8566,232,3156,0.0,4909,42,57217,272,0,0,5.0,0.3,17.9,40,5.0,7533,154,755,11,282,1716510,1.0,0,12493,0,414,0,1243,32793,31719,0,80563,0.0,713,40,0,20.7,12,57,5,187,289,237,0,0,32,https://github.com/facebookresearch/pytext.git
3.3,2992,0,1.0,41,0.0,540,75,80,27480,5772,143,2222,0.0,3061,20,49494,101,0,0,5.0,0.2,15.5,24,5.0,4538,118,540,3,239,1484820,1.0,0,9086,0,479,0,819,28233,27480,0,67974,0.0,520,24,0,12.1,9,44,2,81,219,220,0,0,29,https://github.com/facebookresearch/ReAgent.git
12.6,3910,0,1.0,93,0.0,1355,380,74,38743,11116,426,11501,0.0,9701,67,55773,511,0,0,5.0,0.6,30.2,26,5.0,12535,533,1355,11,464,1673190,1.0,0,24075,0,425,0,782,40819,38743,0,91281,0.0,1288,26,0,26.2,12,87,3,381,412,495,0,0,34,https://github.com/fastnlp/fastNLP.git
0.0,99,0,1.0,0,0.0,68,13,0,1576,415,35,0,0.0,397,2,3078,10,0,0,3.0,0.4,20.0,7,5.0,515,0,68,0,20,92340,1.0,0,770,0,19,0,8,1632,1576,0,4194,0.0,66,7,0,21.8,0,10,0,13,18,35,0,0,8,https://github.com/faustomorales/keras-ocr.git
3.5,1443,0,1.0,26,0.0,496,12,18,9241,2245,228,1004,0.0,1826,2,16353,10,0,0,3.0,0.4,31.0,17,5.0,1118,41,496,1,237,490590,1.0,0,7332,0,394,0,403,10343,9241,0,29063,0.0,494,17,0,5.7,1,1,0,13,235,247,0,0,1,https://github.com/f-dangel/backpack.git
7.1,2581,0,1.0,66,0.0,471,93,82,21681,5558,71,4763,0.0,2711,9,50209,56,0,0,5.0,0.2,13.1,72,5.0,4563,205,471,3,222,1506270,1.0,0,7561,0,416,0,374,22442,21681,0,67443,0.0,462,72,0,13.4,121,32,0,98,216,148,0,0,25,https://github.com/feast-dev/feast.git
11.4,4401,0,1.0,139,0.0,1163,222,62,36129,9226,183,8688,0.0,6502,33,51998,248,0,0,5.0,0.4,15.0,26,5.0,8273,884,1163,9,687,1559940,1.0,0,9156,0,586,0,811,36687,36129,0,76307,0.0,1130,26,0,15.7,9,96,2,230,664,236,0,0,56,https://github.com/FederatedAI/FATE.git
18.2,339,0,1.0,9,0.0,69,20,3,2643,592,26,1044,0.0,262,2,3899,20,0,0,5.0,0.2,12.1,11,5.0,360,31,69,1,19,116970,1.0,0,537,0,48,0,122,2729,2643,0,5741,0.0,67,11,0,12.3,1,2,0,20,18,29,0,0,1,https://github.com/feedly/transfer-nlp.git
0.0,1027,0,1.0,0,0.0,89,20,0,8377,1892,15,0,0.0,506,9,12288,60,0,0,5.0,0.1,23.5,11,5.0,1342,0,89,3,51,368640,1.0,0,3777,0,169,0,158,8641,8377,0,18102,0.0,80,11,0,11.2,8,26,1,27,39,14,0,0,20,https://github.com/fepegar/torchio.git
1.6,378,0,1.0,7,0.0,80,6,0,3232,770,17,133,0.0,471,13,4636,35,0,0,3.0,0.3,33.8,2,5.0,693,8,80,0,57,139080,1.0,0,2364,0,64,0,33,3516,3232,0,8449,0.0,67,2,0,12.0,4,23,0,10,40,17,0,0,10,https://github.com/fizyr/keras-retinanet.git
3.2,2177,0,1.0,16,0.0,615,185,18,19873,5820,342,1557,0.0,5109,18,32676,108,0,0,3.0,0.5,17.6,56,5.0,6436,82,615,2,68,980280,1.0,0,6973,0,128,0,564,20552,19873,0,48091,0.0,597,56,0,45.5,4,19,3,195,45,357,0,0,4,https://github.com/flairNLP/flair.git
2.5,879,0,1.0,20,0.0,2344,245,110,19157,4252,1300,1104,0.0,14517,21,25191,118,0,0,5.0,1.9,35.8,8,5.0,7567,53,2344,1,688,755730,1.0,0,14022,0,97,0,41,19759,19157,0,43428,0.0,2323,8,0,43.8,123,87,4,360,557,1406,0,0,72,https://github.com/flatironinstitute/CaImAn.git
7.2,1289,0,1.0,42,0.0,492,125,80,13326,2866,161,3020,0.0,2755,8,22982,75,0,0,5.0,0.4,36.3,22,5.0,2926,94,492,3,123,689460,1.0,0,13110,0,205,0,259,14733,13326,0,41815,0.0,484,22,0,14.0,6,15,2,123,128,233,0,0,14,https://github.com/flow-project/flow.git
12.3,495,0,1.0,17,0.0,355,65,4,5095,1207,132,1434,0.0,2245,7,6440,65,0,0,5.0,1.2,32.7,4,5.0,1142,69,355,1,153,193200,1.0,0,3130,0,70,0,48,5322,5095,0,11692,0.0,348,4,0,17.2,1,69,0,65,147,136,0,0,63,https://github.com/frankkramer-lab/MIScnn.git
7.3,7966,0,1.0,194,0.0,1793,456,127,81343,21785,454,13712,0.0,14176,93,141322,589,0,0,5.0,0.3,13.3,154,5.0,22621,618,1793,12,744,4239660,1.0,0,21657,0,996,0,1428,83529,81343,0,189113,0.0,1700,154,0,22.0,15,233,13,464,673,563,0,0,163,https://github.com/freewym/espresso.git
0.9,224,0,1.0,1,0.0,79,8,1,1714,501,50,34,0.0,303,1,2123,10,0,0,3.0,0.5,36.1,2,5.0,415,2,79,0,20,63690,1.0,0,1197,0,14,0,48,1884,1714,0,3830,0.0,78,2,0,35.8,0,5,0,8,20,50,0,0,4,https://github.com/funcwj/setk.git
1.8,22569,590,1.0,125,0.0,5129,1419,883,208388,54927,762,7504,0.0,50515,89,317882,611,0,0,5.0,0.5,13.6,358,5.0,64007,352,5129,37,2028,9536460,5.0,0,49987,0,1982,0,4447,215506,208388,0,425951,0.0,5015,358,25,28.2,69,50,16,1409,1978,1628,24,1,0,https://github.com/galaxyproject/galaxy.git
4.5,811,0,1.0,16,0.0,118,15,12,6180,1421,46,673,0.0,723,3,8539,15,0,0,3.0,0.3,34.0,2,5.0,1040,24,118,0,45,256170,1.0,0,4406,0,74,0,54,6365,6180,0,15025,0.0,115,2,0,19.2,0,4,0,15,44,56,0,0,1,https://github.com/geoopt/geoopt.git
2.0,437,120,1.0,4,0.0,219,31,48,3897,998,52,154,0.0,943,12,4515,90,0,0,5.0,0.7,28.7,36,5.0,1036,8,219,6,82,135450,5.0,0,1814,0,61,0,43,4013,3897,0,7677,0.0,203,36,4,16.9,2,20,1,32,72,99,4,0,10,https://github.com/geyang/ml_logger.git
44.3,199,0,1.0,59,0.0,138,29,1,4580,635,31,3554,0.0,657,1,4986,10,0,0,5.0,0.4,20.1,9,5.0,604,244,138,1,76,149580,1.0,0,1253,0,146,0,51,4588,4580,0,8026,0.0,137,9,0,4.3,1,8,0,29,76,32,0,0,0,https://github.com/gjy3035/C-3-Framework.git
1.5,6971,60,1.0,29,0.0,1328,639,190,62481,14325,211,2316,0.0,9335,14,102368,68,0,0,4.0,0.3,17.7,264,5.0,10781,124,1328,6,282,3071040,5.0,0,21942,0,641,0,1101,69584,62481,0,152214,0.0,1312,264,2,22.3,78,5,3,637,277,398,2,0,0,https://github.com/google/clusterfuzz.git
6.8,3762,0,1.0,63,0.0,523,94,59,27714,6550,157,5140,0.0,3243,73,45910,544,0,0,5.0,0.2,28.9,11,5.0,4604,218,523,31,182,1377300,1.0,0,18681,0,270,0,1004,28977,27714,0,75943,0.0,450,11,0,24.3,36,90,0,93,141,216,0,0,49,https://github.com/google/flax.git
7.7,1044,0,1.0,29,0.0,495,166,27,13794,3204,50,2651,0.0,4513,32,22019,197,0,0,3.0,0.7,23.5,1,5.0,4494,102,495,0,252,660570,1.0,0,6770,0,116,0,116,14427,13794,0,34520,0.0,463,1,0,27.6,4,71,3,166,222,75,0,0,41,https://github.com/google/qkeras.git
5.2,2551,0,1.0,41,0.0,1907,87,19,21560,4593,735,2366,0.0,6971,225,29574,2142,0,0,5.0,0.8,25.0,1,5.0,2927,160,1907,2,1064,887220,1.0,0,9854,0,149,0,55,22214,21560,0,45823,0.0,1682,1,0,30.8,7,870,2,87,843,752,0,0,651,https://github.com/google/TensorNetwork.git
5.0,2601,0,1.0,79,0.0,395,30,79,24728,4657,14,4557,0.0,2487,13,50683,75,0,0,5.0,0.2,38.6,6,5.0,2991,331,395,1,271,1520490,1.0,0,31867,0,358,0,257,26632,24728,0,91409,0.0,382,6,0,13.0,2,76,9,30,268,84,0,0,73,https://github.com/google/tf-quant-finance.git
43.1,837,0,1.0,76,0.0,139,28,16,8391,1800,23,10701,0.0,665,2,12750,10,0,0,2.0,0.2,37.5,67,5.0,1392,118,139,0,72,382500,1.0,0,7639,0,205,0,57,8993,8391,0,24811,0.0,137,67,0,8.8,33,23,2,30,74,33,0,0,21,https://github.com/GoogleCloudPlatform/ml-on-gcp.git
10.1,824,0,1.0,12,0.0,248,54,101,9090,2245,9,2690,0.0,1314,12,15340,92,0,0,5.0,0.3,33.7,11,5.0,2404,46,248,1,83,460200,1.0,0,7781,0,73,0,189,9839,9090,0,26622,0.0,236,11,0,30.8,18,50,3,59,70,107,0,0,42,https://github.com/google-research/meta-dataset.git
1.6,1201,0,1.0,14,0.0,193,49,23,10236,2497,3,457,0.0,1684,1,16145,5,0,0,2.0,0.3,36.0,3,5.0,2150,24,193,0,118,484350,1.0,0,9069,0,140,0,152,11102,10236,0,29003,0.0,192,3,0,17.8,0,36,1,49,118,25,0,0,36,https://github.com/google-research/tensor2robot.git
0.8,474,0,1.0,1,0.0,94,56,14,3889,992,1,102,0.0,887,3,8502,20,0,0,3.0,0.3,27.8,5,5.0,899,7,94,0,23,255060,1.0,0,3274,0,43,0,26,4134,3889,0,13397,0.0,91,5,0,23.1,0,3,0,56,20,15,0,0,0,https://github.com/google-research/text-to-text-transfer-transformer.git
4.6,1289,0,1.0,24,0.0,200,26,0,9554,2237,42,995,0.0,1047,8,12827,40,0,0,3.0,0.3,29.9,1,5.0,1316,55,200,10,122,384810,1.0,0,5476,0,123,0,175,9868,9554,0,21569,0.0,192,1,0,18.2,0,84,0,37,113,42,0,0,75,https://github.com/GRAAL-Research/poutyne.git
0.8,137,0,1.0,1,0.0,25,6,1,1162,236,0,22,0.0,115,1,1497,15,0,0,3.0,0.3,30.8,1,5.0,160,2,25,0,18,44910,1.0,0,667,0,27,0,37,1190,1162,0,2783,0.0,24,1,0,8.7,0,3,0,6,17,1,0,0,2,https://github.com/graknlabs/kglib.git
0.4,1018,0,1.0,2,0.0,199,70,1,6132,1806,113,36,0.0,1221,0,7464,0,0,0,1.0,0.5,6.1,15,5.0,1516,2,199,0,15,223920,1.0,0,487,0,82,0,41,6194,6132,0,9890,0.0,199,15,0,22.0,0,0,0,70,15,114,0,0,0,https://github.com/graphbrain/graphbrain.git
0.8,191,0,1.0,1,0.0,44,4,1,1629,340,17,30,100.0,290,1,2146,15,0,0,3.0,0.5,26.9,0,1.0,247,2,44,0,22,64380,1.0,0,788,0,40,0,18,1678,1629,0,3565,0.0,43,0,0,8.5,0,10,0,4,21,18,0,0,9,https://github.com/greentfrapp/lucent.git
3.5,6080,0,1.0,30,0.0,713,145,12,39689,13022,280,2891,0.0,4818,50,52723,503,0,0,5.0,0.3,20.4,40,5.0,11160,66,713,6,270,1581690,1.0,0,13477,0,580,0,486,40493,39689,0,82589,0.0,663,40,0,22.5,25,71,1,144,228,291,0,0,29,https://github.com/guildai/guildai.git
35.4,242,0,1.0,6,0.0,110,13,0,2973,597,78,2058,0.0,429,0,3360,0,0,0,1.0,0.4,35.1,10,5.0,667,29,110,0,19,100800,1.0,0,1814,0,36,0,48,3169,2973,0,5818,0.0,110,10,0,16.6,0,0,0,13,27,70,0,0,0,https://github.com/Ha0Tang/AttentionGAN.git
71.4,782,0,1.0,105,0.0,459,56,0,8980,2108,230,10188,0.0,1972,44,10368,505,0,0,5.0,0.6,11.3,24,5.0,2300,157,459,43,130,311040,1.0,0,1320,0,158,0,131,9066,8980,0,14277,0.0,415,24,0,13.3,45,3,0,58,145,212,0,0,0,https://github.com/Ha0Tang/SelectionGAN.git
1.9,397,90,1.0,5,0.0,374,70,0,6519,1367,171,201,0.0,2053,13,7447,145,0,0,5.0,0.9,12.8,59,5.0,1922,9,374,4,129,223410,5.0,0,1091,0,170,0,28,6622,6519,0,10450,0.0,359,59,2,8.1,2,12,2,70,121,168,2,0,2,https://github.com/hastagAB/Awesome-Python-Scripts.git
2.1,760,0,1.0,7,0.0,228,50,21,7458,1908,82,406,0.0,1854,1,12104,5,0,0,3.0,0.5,26.0,7,5.0,2224,26,228,0,75,363120,1.0,0,4248,0,134,0,116,8352,7458,0,19181,0.0,227,7,0,14.2,8,2,0,58,66,103,0,0,1,https://github.com/HazyResearch/fonduer.git
12.7,496,15,1.0,12,0.0,378,58,12,7618,1453,163,2284,100.0,2567,16,11689,110,0,0,5.0,0.7,25.0,0,1.0,1983,104,378,6,139,350670,4.0,0,3889,0,65,0,71,7901,7618,0,17941,0.0,359,0,3,22.4,40,47,0,59,124,175,3,0,39,https://github.com/henrysky/astroNN.git
5.8,769,0,1.0,17,0.0,107,42,16,5572,1349,20,715,0.0,683,8,7747,60,0,0,5.0,0.3,23.0,8,5.0,1119,32,107,8,21,232410,1.0,0,2317,0,136,0,146,5729,5572,0,12232,0.0,99,8,0,9.9,10,2,0,44,21,34,0,0,2,https://github.com/heronsystems/adeptRL.git
0.0,639,0,1.0,0,0.0,140,35,19,5704,1269,37,0,0.0,853,3,8166,20,0,0,5.0,0.3,17.4,11,5.0,1066,0,140,2,47,244980,1.0,0,1721,0,78,0,79,6000,5704,0,11656,0.0,137,11,0,16.3,2,20,0,35,46,56,0,0,19,https://github.com/HumanCompatibleAI/adversarial-policies.git
5.8,83,0,1.0,5,0.0,142,20,0,2349,398,70,211,0.0,713,0,2842,0,0,0,1.0,0.8,10.4,4,5.0,701,16,142,1,51,85260,1.0,0,331,0,23,0,3,2371,2349,0,3665,0.0,142,4,0,17.3,3,3,0,21,51,70,0,0,3,https://github.com/hunglc007/tensorflow-yolov4-tflite.git
37.9,265,0,1.0,17,0.0,65,31,0,3072,578,11,2272,100.0,376,0,4633,0,0,0,1.0,0.3,8.7,0,1.0,588,88,65,0,23,138990,1.0,0,443,0,64,0,75,3077,3072,0,5990,0.0,65,0,0,9.0,0,17,0,31,23,11,0,0,17,https://github.com/hysts/pytorch_image_classification.git
11.2,4344,0,1.0,199,0.0,1440,317,32,56391,11938,267,16582,0.0,10467,162,84091,987,0,0,5.0,0.4,30.4,51,5.0,14001,806,1440,6,818,2522730,1.0,0,36690,0,630,0,591,59319,56391,0,147645,0.0,1278,51,0,19.0,117,463,3,364,614,294,0,0,311,https://github.com/IBM/adversarial-robustness-toolbox.git
5.1,944,0,1.0,21,0.0,626,52,18,8817,2072,363,1281,0.0,2745,29,13619,145,0,0,5.0,0.7,38.4,3,5.0,1899,85,626,1,192,408570,1.0,0,8505,0,180,0,94,9490,8817,0,25348,0.0,597,3,0,11.5,9,85,0,60,156,381,0,0,57,https://github.com/IBM/AIF360.git
5.6,853,0,1.0,22,0.0,1004,53,7,10190,1996,688,1264,0.0,3837,7,14046,45,0,0,5.0,0.9,27.0,12,5.0,2203,68,1004,7,249,421380,1.0,0,5202,0,243,0,198,10609,10190,0,22675,0.0,997,12,0,8.2,46,30,0,78,231,688,0,0,25,https://github.com/IBM/AIX360.git
13.5,3365,0,1.0,127,0.0,2053,423,79,29964,7503,1303,13503,0.0,10498,16,81220,100,0,0,4.0,0.4,10.0,579,5.0,8337,502,2053,3,245,2436600,1.0,0,9026,0,333,0,514,30317,29964,0,100119,0.0,2037,579,0,22.5,5,28,0,428,227,1382,0,0,10,https://github.com/IBM/lale.git
1.0,888,0,1.0,4,0.0,195,25,22,7114,1914,25,146,0.0,813,6,9335,47,0,0,5.0,0.3,25.1,4,5.0,1704,6,195,3,120,280050,1.0,0,3129,0,126,0,228,7357,7114,0,14763,0.0,189,4,0,15.2,4,65,0,38,104,47,0,0,63,https://github.com/inferno-pytorch/inferno.git
11.4,505,0,1.0,13,0.0,272,46,14,5148,1527,136,1204,0.0,1744,7,7481,50,0,0,3.0,0.8,17.0,7,5.0,2034,69,272,0,76,224430,1.0,0,1530,0,58,0,76,5376,5148,0,10536,0.0,265,7,0,26.3,6,24,1,46,70,149,0,0,18,https://github.com/interpretml/DiCE.git
1.3,1021,0,1.0,6,0.0,252,49,11,8305,1971,110,225,100.0,1746,6,11114,31,0,0,3.0,0.5,28.2,0,1.0,1676,12,252,0,82,333420,1.0,0,4357,0,99,0,165,8760,8305,0,17960,0.0,246,0,0,19.9,0,18,1,49,77,120,0,0,13,https://github.com/interpretml/interpret-community.git
10.6,392,0,1.0,11,0.0,218,27,11,4369,936,107,1110,0.0,1091,9,7037,52,0,0,3.0,0.5,22.4,6,5.0,981,35,218,0,73,211110,1.0,0,2036,0,75,0,68,4579,4369,0,10492,0.0,209,6,0,12.5,0,15,1,27,65,117,0,0,7,https://github.com/interpretml/interpret-text.git
6.8,3276,0,1.0,47,0.0,967,539,46,19974,5413,101,2724,0.0,7597,40,24345,342,0,0,5.0,1.0,24.1,48,5.0,4102,72,967,15,266,730350,1.0,0,7711,0,280,0,325,20879,19974,0,40315,0.0,927,48,0,19.4,15,22,4,541,244,142,0,0,0,https://github.com/ironmussa/Optimus.git
2.8,309,0,1.0,5,0.0,95,40,0,3477,1117,38,179,100.0,769,3,4971,35,0,0,3.0,0.5,16.3,0,1.0,1242,13,95,0,17,149130,1.0,0,965,0,30,0,44,3586,3477,0,6501,0.0,92,0,0,37.2,1,4,0,42,28,22,0,0,0,https://github.com/jaakkopasanen/AutoEq.git
2.2,1761,0,1.0,7,0.0,587,272,15,10279,3853,102,349,0.0,3455,20,11818,99,0,0,5.0,1.0,13.1,8,5.0,2984,14,587,4,194,354540,1.0,0,1783,0,105,0,280,12526,10279,0,15875,0.0,567,8,0,36.7,4,15,1,272,182,113,0,0,0,https://github.com/jantic/DeOldify.git
0.0,166,0,1.0,0,0.0,147,19,0,1712,380,80,0,0.0,626,4,2664,21,0,0,5.0,0.8,25.8,2,5.0,349,0,147,2,46,79920,1.0,0,925,0,37,0,25,1801,1712,0,4367,0.0,143,2,0,10.3,2,35,0,19,44,80,0,0,33,https://github.com/jeongyoonlee/Kaggler.git
6.1,133,0,1.0,8,0.0,43,23,0,2222,586,8,347,0.0,424,5,3708,23,0,0,3.0,0.4,24.5,1,5.0,872,20,43,0,12,111240,1.0,0,1203,0,37,0,32,2283,2222,0,5696,0.0,38,1,0,15.8,0,7,0,23,7,8,0,0,2,https://github.com/jettify/pytorch-optimizer.git
17.3,402,40,1.0,30,0.0,1771,289,8,11415,1520,1197,4872,0.0,7322,24,13211,134,0,0,5.0,1.8,46.9,22,5.0,2823,162,1771,2,275,396330,4.0,0,11676,0,160,0,12,11657,11415,0,28191,0.0,1745,22,2,9.6,7,26,0,291,249,1205,2,0,4,https://github.com/jim-schwoebel/voicebook.git
1.9,425,0,1.0,8,0.0,111,35,17,5324,1305,25,274,0.0,964,1,9750,5,0,0,4.0,0.3,24.0,2,5.0,1563,14,111,0,34,292500,1.0,0,3085,0,53,0,67,5598,5324,0,14527,0.0,110,2,0,24.6,1,2,0,34,34,42,0,0,2,https://github.com/joeynmt/joeynmt.git
7.8,1014,0,1.0,55,0.0,702,68,0,11436,2956,365,2858,0.0,3040,56,23429,265,0,0,3.0,0.4,26.5,5,5.0,3265,136,702,0,269,702870,1.0,0,8461,0,191,0,187,11709,11436,0,36725,0.0,646,5,0,15.5,3,208,0,72,211,363,0,0,149,https://github.com/jrzaurin/pytorch-widedeep.git
0.0,173,0,1.0,0,0.0,57,4,0,1716,427,44,0,0.0,197,0,1875,0,0,0,1.0,0.4,42.0,7,5.0,458,0,57,0,9,56250,1.0,0,1356,0,33,0,30,1890,1716,0,3497,0.0,57,7,0,12.9,1,0,0,5,12,40,0,0,0,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix.git
22.0,723,0,1.0,33,0.0,200,28,1,9074,1812,100,4489,0.0,1143,1,14792,5,0,0,3.0,0.3,16.4,42,5.0,1713,371,200,1,70,443760,1.0,0,2904,0,106,0,191,9318,9074,0,20422,0.0,199,42,0,17.1,4,6,0,33,65,101,0,0,5,https://github.com/KaiyangZhou/deep-person-reid.git
8.7,560,0,1.0,9,0.0,69,13,1,4336,894,8,793,100.0,463,5,5637,42,0,0,5.0,0.3,19.2,0,1.0,526,38,69,1,46,169110,1.0,0,1343,0,65,0,148,4504,4336,0,9138,0.0,64,0,0,13.8,1,3,1,13,43,8,0,0,0,https://github.com/kakaobrain/torchgpipe.git
6.0,432,0,1.0,19,0.0,187,15,17,4768,1003,30,635,0.0,985,6,6793,43,0,0,3.0,0.5,24.9,2,5.0,945,27,187,0,125,203790,1.0,0,2256,0,117,0,120,4921,4768,0,10496,0.0,181,2,0,8.6,69,37,0,15,111,47,0,0,31,https://github.com/keiohta/tf2rl.git
1.2,622,0,1.0,6,0.0,137,22,13,5056,1153,10,160,0.0,725,6,8136,22,0,0,3.0,0.3,25.3,10,5.0,827,8,137,0,92,244080,1.0,0,2753,0,123,0,90,5200,5056,0,13402,0.0,131,10,0,9.4,0,75,1,22,87,22,0,0,70,https://github.com/keras-team/autokeras.git
6.1,904,0,1.0,10,0.0,206,28,7,6810,1570,54,1086,0.0,993,32,10956,165,0,0,5.0,0.3,26.5,12,5.0,990,20,206,1,116,328680,1.0,0,3960,0,101,0,121,7030,6810,0,17662,0.0,174,12,0,15.5,2,91,0,27,86,61,0,0,61,https://github.com/keras-team/keras-tuner.git
22.9,228,0,1.0,5,0.0,79,22,0,2510,699,10,1397,0.0,597,3,4282,30,0,0,5.0,0.5,6.1,11,5.0,639,28,79,3,44,128460,1.0,0,276,0,37,0,58,2529,2510,0,6093,0.0,76,11,0,19.4,3,0,0,22,44,10,0,0,0,https://github.com/kerlomz/captcha_platform.git
4.2,940,0,1.0,25,0.0,480,86,0,9395,2294,337,772,100.0,2526,10,14846,82,0,0,5.0,0.6,5.6,0,1.0,2636,63,480,5,52,445380,1.0,0,880,0,195,0,209,9449,9395,0,18330,0.0,470,0,0,11.8,4,9,0,89,44,337,0,0,2,https://github.com/KevinMusgrave/pytorch-metric-learning.git
7.7,12,0,1.0,1,0.0,59,5,0,343,48,39,54,0.0,174,0,449,0,0,0,1.0,1.3,26.2,3,5.0,62,4,59,0,15,13470,1.0,0,159,0,6,0,0,356,343,0,703,0.0,59,3,0,8.0,0,4,0,5,15,39,0,0,4,https://github.com/kk7nc/HDLTex.git
3.3,26,0,1.0,3,0.0,111,18,0,1055,140,48,76,0.0,516,1,1411,3,0,0,3.0,1.2,29.7,27,5.0,224,4,111,0,45,42330,1.0,0,596,0,23,0,0,1090,1055,0,2313,0.0,110,27,0,6.1,0,4,0,18,44,48,0,0,3,https://github.com/kk7nc/RMDL.git
